county,precinct,absenteePrecinct,score
FULTON,11G,"11G",100.00
FULTON,SS11D,"SS11D",100.00
SCREVEN,10,"10",100.00
SCREVEN,01,"01",100.00
SCREVEN,11,"11",100.00
SCREVEN,02,"02",100.00
SCREVEN,06,"06",100.00
SCREVEN,12,"12",100.00
SCREVEN,05,"05",100.00
SCREVEN,08,"08",100.00
SCREVEN,04,"04",100.00
SCREVEN,09,"09",100.00
SCREVEN,03,"03",100.00
SCREVEN,07,"07",100.00
TROUP,10,"10",100.00
TROUP,08,"08",100.00
TROUP,16,"16",100.00
TROUP,11,"11",100.00
TROUP,03,"03",100.00
TROUP,12,"12",100.00
TROUP,13,"13",100.00
TROUP,15,"15",100.00
TROUP,06,"06",100.00
TROUP,07,"07",100.00
TROUP,05,"05",100.00
TROUP,01,"01",100.00
TROUP,04,"04",100.00
TROUP,02,"02",100.00
WHITFIELD,TH,"TH",100.00
WHITFIELD,UT,"UT",100.00
WHITFIELD,2A,"2A",100.00
WHITFIELD,3A,"3A",100.00
WHITFIELD,GL,"GL",100.00
WHITFIELD,6A,"6A",100.00
WHITFIELD,TR,"TR",100.00
WHITFIELD,FI,"FI",100.00
WHITFIELD,MC,"MC",100.00
WHITFIELD,4A,"4A",100.00
WHITFIELD,NI,"NI",100.00
WHITFIELD,ES,"ES",100.00
WHITFIELD,LT,"LT",100.00
WHITFIELD,1A,"1A",100.00
WHITFIELD,PG,"PG",100.00
WHITFIELD,CO,"CO",100.00
WHITFIELD,5A,"5A",100.00
WHITFIELD,VA,"VA",100.00
WHITFIELD,CA,"CA",100.00
WHITFIELD,WS,"WS",100.00
WHITFIELD,DG,"DG",100.00
WHITFIELD,TI,"TI",100.00
WHITFIELD,AN,"AN",100.00
BIBB,EM3,"EM3",100.00
BIBB,EM5,"EM5",100.00
BIBB,GF2,"GF2",100.00
BIBB,HA1,"HA1",100.00
BIBB,VV5,"VV5",100.00
BIBB,HO1,"HO1",100.00
BIBB,WA1,"WA1",100.00
BIBB,GF5,"GF5",100.00
BIBB,HA2,"HA2",100.00
BIBB,VV1,"VV1",100.00
BIBB,HO4,"HO4",100.00
BIBB,RU2,"RU2",100.00
BIBB,GF3,"GF3",100.00
BIBB,HO5,"HO5",100.00
BIBB,GF1,"GF1",100.00
BIBB,VV6,"VV6",100.00
BIBB,HO2,"HO2",100.00
BIBB,GF4,"GF4",100.00
BIBB,VV2,"VV2",100.00
BIBB,EM4,"EM4",100.00
BIBB,EM2,"EM2",100.00
BIBB,VV3,"VV3",100.00
BIBB,RU1,"RU1",100.00
BIBB,WA2,"WA2",100.00
BIBB,HO7,"HO7",100.00
BIBB,HO6,"HO6",100.00
BIBB,VV4,"VV4",100.00
BIBB,HA4,"HA4",100.00
BIBB,HA3,"HA3",100.00
BIBB,EM1,"EM1",100.00
BIBB,HO3,"HO3",100.00
BRYAN,9,"9",100.00
BRYAN,4,"4",100.00
BRYAN,2,"2",100.00
BRYAN,7,"7",100.00
BRYAN,6,"6",100.00
BRYAN,10,"10",100.00
BRYAN,3,"3",100.00
BRYAN,5,"5",100.00
BRYAN,1,"1",100.00
BRYAN,8,"8",100.00
CHATHAM,5-02C,"5-02C",100.00
CHATHAM,2-04C,"2-04C",100.00
CHATHAM,2-06C,"2-06C",100.00
CHATHAM,3-11C,"3-11C",100.00
CHATHAM,3-08C,"3-08C",100.00
CHATHAM,3-12C,"3-12C",100.00
CHATHAM,1-17C,"1-17C",100.00
CHATHAM,7-08C,"7-08C",100.00
CHATHAM,1-06C,"1-06C",100.00
CHATHAM,8-06C,"8-06C",100.00
CHATHAM,7-03C,"7-03C",100.00
CHATHAM,7-06C,"7-06C",100.00
CHATHAM,2-05C,"2-05C",100.00
CHATHAM,3-14C,"3-14C",100.00
CHATHAM,2-07C,"2-07C",100.00
CHATHAM,7-16C,"7-16C",100.00
CHATHAM,7-09C,"7-09C",100.00
CHATHAM,1-12C,"1-12C",100.00
CHATHAM,7-12C,"7-12C",100.00
CHATHAM,8-03C,"8-03C",100.00
CHATHAM,1-01C,"1-01C",100.00
CHATHAM,8-13C,"8-13C",100.00
CHATHAM,2-12C,"2-12C",100.00
CHATHAM,1-13C,"1-13C",100.00
CHATHAM,1-08C,"1-08C",100.00
CHATHAM,8-15C,"8-15C",100.00
CHATHAM,8-08C,"8-08C",100.00
CHATHAM,7-10C,"7-10C",100.00
CHATHAM,8-07C,"8-07C",100.00
CHATHAM,3-10C,"3-10C",100.00
CHATHAM,1-09C,"1-09C",100.00
CHATHAM,4-04C,"4-04C",100.00
CHATHAM,7-15C,"7-15C",100.00
CHATHAM,5-08C,"5-08C",100.00
CHATHAM,2-09C,"2-09C",100.00
CHATHAM,6-10C,"6-10C",100.00
CHATHAM,7-13C,"7-13C",100.00
CHATHAM,4-11C,"4-11C",100.00
CHATHAM,7-14C,"7-14C",100.00
CHATHAM,7-05C,"7-05C",100.00
CHATHAM,4-05C,"4-05C",100.00
CHATHAM,6-02C,"6-02C",100.00
CHATHAM,4-13C,"4-13C",100.00
CHATHAM,3-09C,"3-09C",100.00
CHATHAM,4-02C,"4-02C",100.00
CHATHAM,1-10C,"1-10C",100.00
CHATHAM,5-03C,"5-03C",100.00
CHATHAM,3-02C,"3-02C",100.00
CHATHAM,8-02C,"8-02C",100.00
CHATHAM,4-12C,"4-12C",100.00
CHATHAM,7-11C,"7-11C",100.00
CHATHAM,2-03C,"2-03C",100.00
CHATHAM,8-10C,"8-10C",100.00
CHATHAM,4-06C,"4-06C",100.00
CHATHAM,6-09C,"6-09C",100.00
CHATHAM,6-11C,"6-11C",100.00
CHATHAM,3-13C,"3-13C",100.00
CHATHAM,7-07C,"7-07C",100.00
CHATHAM,3-05C,"3-05C",100.00
CHATHAM,8-11C,"8-11C",100.00
CHATHAM,5-07C,"5-07C",100.00
CHATHAM,7-04C,"7-04C",100.00
CHATHAM,8-12C,"8-12C",100.00
